Year,ONS CHD LA Code,ONS SNAC LA Code,Local Authority  ,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
2020,E09000001,00AA,City of London,2.253,0.142,0.412,0.028,0.011,0.045,2.891
2020,E09000002,00AB,Barking and Dagenham,65.008,1.834,6.081,0.831,0.156,0.675,74.585
2020,E09000003,00AC,Barnet,141.673,4.601,8.331,0.484,0.381,1.132,156.602
2020,E09000004,00AD,Bexley,106.146,4.012,9.528,1.215,1.149,1.304,123.354
2020,E09000005,00AE,Brent,91.434,5.483,8.350,1.102,1.846,0.788,109.003
2020,E09000006,00AF,Bromley,147.313,5.673,12.028,0.595,0.283,1.003,166.895
2020,E09000007,00AG,Camden,41.112,2.409,3.539,0.263,0.075,0.576,47.974
2020,E09000008,00AH,Croydon,140.899,5.581,11.632,0.473,0.261,0.662,159.508
2020,E09000009,00AJ,Ealing,116.461,5.334,10.452,1.241,0.442,0.650,134.580
2020,E09000010,00AK,Enfield,119.486,3.282,11.067,2.164,0.233,3.919,140.151
2020,E09000011,00AL,Greenwich,79.091,3.154,5.625,0.538,0.189,0.622,89.219
2020,E09000012,00AM,Hackney,42.300,2.760,3.354,0.202,0.452,0.437,49.505
2020,E09000013,00AN,Hammersmith and Fulham,44.396,3.501,2.295,0.143,0.086,0.685,51.106
2020,E09000014,00AP,Haringey,62.655,3.808,4.689,0.394,1.845,0.281,73.672
2020,E09000015,00AQ,Harrow,99.318,2.300,5.841,0.290,0.312,0.806,108.867
2020,E09000016,00AR,Havering,114.611,3.565,11.997,1.408,0.279,1.219,133.079
2020,E09000017,00AS,Hillingdon,133.476,3.992,15.085,1.394,0.410,1.275,155.632
2020,E09000018,00AT,Hounslow,96.365,4.167,8.112,1.298,0.333,0.989,111.264
2020,E09000019,00AU,Islington,35.637,2.691,2.703,0.172,0.118,0.576,41.897
2020,E09000020,00AW,Kensington and Chelsea,40.050,2.258,1.508,0.058,0.085,0.370,44.329
2020,E09000021,00AX,Kingston upon Thames,65.275,3.215,5.269,0.227,0.155,0.405,74.546
2020,E09000022,00AY,Lambeth,63.860,4.602,4.413,0.133,0.118,0.510,73.636
2020,E09000023,00AZ,Lewisham,76.955,3.542,5.169,0.253,0.195,0.520,86.634
2020,E09000024,00BA,Merton,70.589,3.795,6.087,0.719,2.732,2.458,86.380
2020,E09000025,00BB,Newham,70.905,3.046,5.336,0.588,1.364,0.758,81.997
2020,E09000026,00BC,Redbridge,104.515,2.629,6.734,0.353,0.225,0.644,115.100
2020,E09000027,00BD,Richmond upon Thames,76.564,3.809,3.961,0.116,1.087,0.398,85.935
2020,E09000028,00BE,Southwark,58.741,4.023,3.982,0.193,1.351,0.700,68.990
2020,E09000029,00BF,Sutton,87.063,3.869,8.176,0.399,0.234,0.601,100.342
2020,E09000030,00BG,Tower Hamlets,45.543,2.947,2.795,0.273,0.086,2.438,54.082
2020,E09000031,00BH,Waltham Forest,78.186,3.161,6.126,0.486,0.169,0.523,88.651
2020,E09000032,00BJ,Wandsworth,80.115,5.749,5.199,0.394,0.224,0.505,92.186
2020,E09000033,00BK,Westminster,48.989,2.452,3.172,0.153,0.436,1.245,56.447
2019,E09000001,00AA,City of London,2.393,0.121,0.385,0.040,0.018,0.057,3.014
2019,E09000002,00AB,Barking and Dagenham,64.869,1.755,5.946,0.848,0.181,0.853,74.452
2019,E09000003,00AC,Barnet,143.155,4.385,8.620,0.526,0.442,1.557,158.685
2019,E09000004,00AD,Bexley,106.628,4.009,9.527,1.281,1.146,1.463,124.054
2019,E09000005,00AE,Brent,92.183,4.890,8.583,1.208,2.097,0.842,109.803
2019,E09000006,00AF,Bromley,148.462,5.586,11.999,0.686,0.325,1.094,168.152
2019,E09000007,00AG,Camden,41.394,2.353,3.468,0.299,0.088,0.568,48.170
2019,E09000008,00AH,Croydon,141.122,5.329,11.748,0.480,0.282,0.746,159.707
2019,E09000009,00AJ,Ealing,116.969,4.991,10.559,1.195,0.599,0.651,134.964
2019,E09000010,00AK,Enfield,120.019,3.093,11.049,2.286,0.260,4.344,141.051
2019,E09000011,00AL,Greenwich,78.636,3.095,5.671,0.543,0.279,0.748,88.972
2019,E09000012,00AM,Hackney,41.315,2.723,3.374,0.230,0.480,0.460,48.582
2019,E09000013,00AN,Hammersmith and Fulham,43.524,3.556,2.379,0.168,0.103,0.647,50.377
2019,E09000014,00AP,Haringey,61.834,3.443,4.878,0.386,1.920,0.382,72.843
2019,E09000015,00AQ,Harrow,100.481,2.103,5.873,0.345,0.359,0.929,110.090
2019,E09000016,00AR,Havering,115.361,3.521,12.111,1.498,0.286,1.507,134.284
2019,E09000017,00AS,Hillingdon,141.665,4.103,16.151,1.466,0.570,1.311,165.266
2019,E09000018,00AT,Hounslow,97.535,3.970,8.310,1.322,0.467,1.040,112.644
2019,E09000019,00AU,Islington,35.536,2.670,2.781,0.230,0.161,0.695,42.073
2019,E09000020,00AW,Kensington and Chelsea,40.806,2.288,1.558,0.057,0.093,0.365,45.167
2019,E09000021,00AX,Kingston upon Thames,66.239,3.162,5.578,0.182,0.197,0.533,75.891
2019,E09000022,00AY,Lambeth,63.007,4.496,4.458,0.154,0.142,0.532,72.789
2019,E09000023,00AZ,Lewisham,76.392,3.502,5.354,0.271,0.227,0.582,86.328
2019,E09000024,00BA,Merton,70.113,3.567,6.052,0.814,2.733,2.456,85.735
2019,E09000025,00BB,Newham,70.338,2.628,5.419,0.656,1.330,1.347,81.718
2019,E09000026,00BC,Redbridge,105.629,2.460,6.794,0.346,0.260,0.817,116.306
2019,E09000027,00BD,Richmond upon Thames,77.021,3.849,3.926,0.147,1.121,0.429,86.493
2019,E09000028,00BE,Southwark,57.378,3.893,4.087,0.252,1.366,0.917,67.893
2019,E09000029,00BF,Sutton,87.727,3.756,8.308,0.467,0.276,0.740,101.274
2019,E09000030,00BG,Tower Hamlets,44.581,2.869,3.001,0.243,0.100,2.937,53.731
2019,E09000031,00BH,Waltham Forest,78.237,2.942,6.235,0.514,0.224,0.708,88.860
2019,E09000032,00BJ,Wandsworth,78.995,5.695,5.356,0.448,0.312,0.516,91.322
2019,E09000033,00BK,Westminster,50.334,2.391,3.229,0.132,0.583,1.457,58.126
2018,E09000001,00AA,City of London,2.422,0.127,0.375,0.047,0.024,0.056,3.051
2018,E09000002,00AB,Barking and Dagenham,63.994,1.835,6.113,0.877,0.177,0.900,73.896
2018,E09000003,00AC,Barnet,142.324,4.411,8.830,0.561,0.495,1.490,158.111
2018,E09000004,00AD,Bexley,105.638,4.101,9.876,1.408,1.109,1.518,123.650
2018,E09000005,00AE,Brent,92.167,4.691,8.835,1.257,2.160,0.869,109.979
2018,E09000006,00AF,Bromley,148.873,5.700,11.952,0.696,0.348,1.187,168.756
2018,E09000007,00AG,Camden,42.631,2.451,3.777,0.335,0.117,0.574,49.885
2018,E09000008,00AH,Croydon,141.284,5.278,11.819,0.516,0.303,0.823,160.023
2018,E09000009,00AJ,Ealing,116.874,5.163,10.732,1.189,0.700,0.645,135.303
2018,E09000010,00AK,Enfield,119.768,3.092,11.210,1.977,0.250,4.560,140.857
2018,E09000011,00AL,Greenwich,78.565,3.203,5.830,0.604,0.242,0.894,89.338
2018,E09000012,00AM,Hackney,41.541,2.816,3.456,0.204,0.409,0.483,48.909
2018,E09000013,00AN,Hammersmith and Fulham,43.441,3.769,2.527,0.206,0.096,0.666,50.705
2018,E09000014,00AP,Haringey,61.835,3.353,5.043,0.374,1.922,0.497,73.024
2018,E09000015,00AQ,Harrow,100.257,2.169,5.938,0.412,0.340,0.945,110.061
2018,E09000016,00AR,Havering,115.346,3.670,12.277,1.561,0.299,1.761,134.914
2018,E09000017,00AS,Hillingdon,140.721,4.247,16.060,1.456,0.545,1.345,164.374
2018,E09000018,00AT,Hounslow,97.108,3.979,8.309,1.278,0.476,1.043,112.193
2018,E09000019,00AU,Islington,36.281,2.899,2.817,0.272,0.176,0.710,43.155
2018,E09000020,00AW,Kensington and Chelsea,41.343,2.482,1.697,0.063,0.098,0.369,46.052
2018,E09000021,00AX,Kingston upon Thames,65.860,3.213,5.689,0.174,0.202,0.587,75.725
2018,E09000022,00AY,Lambeth,63.777,4.592,5.014,0.156,0.205,0.619,74.363
2018,E09000023,00AZ,Lewisham,77.044,3.649,5.528,0.294,0.241,0.621,87.377
2018,E09000024,00BA,Merton,71.904,3.513,6.282,0.895,2.634,2.478,87.706
2018,E09000025,00BB,Newham,70.200,2.619,5.150,0.657,1.512,1.341,81.479
2018,E09000026,00BC,Redbridge,105.129,2.490,6.974,0.337,0.265,0.991,116.186
2018,E09000027,00BD,Richmond upon Thames,77.238,3.889,3.965,0.157,1.182,0.458,86.889
2018,E09000028,00BE,Southwark,57.425,3.923,4.281,0.268,1.396,1.000,68.293
2018,E09000029,00BF,Sutton,87.433,3.811,8.258,0.449,0.252,0.771,100.974
